Date,Hour,Temperature_C,Wind_Speed_kmh,MW,Total_Emissions,Carbon_Intensity_g_kWh
2020-01-01,1,-1.7,22.7,16547,114190.0,6.90094881247356
2020-01-01,2,-1.6,22.1,16173,113610.0,7.0246707475422
2020-01-01,3,-1.5,21.8,16027,114560.0,7.147937854869907
2020-01-01,4,-1.7,20.7,15912,114560.0,7.199597787833082
2020-01-01,5,-1.8,20.2,16023,113580.0,7.08856019472009
2020-01-01,6,-1.6,19.5,16091,114590.0,7.121372195637313
2020-01-01,7,-1.2,19.5,16268,115600.0,7.105974920088517
2020-01-01,8,-0.6,19.0,16439,217550.0,13.233773343877365
2020-01-01,9,-0.6,19.4,16536,236110.0,14.278543783260764
2020-01-01,10,-0.5,18.9,16855,222880.0,13.223375852862652
2020-01-01,11,-0.3,21.2,17266,213050.0,12.339279508861345
2020-01-01,12,0.1,23.9,17451,198840.0,11.39418944473096
2020-01-01,13,0.2,22.3,17692,183650.0,10.380397919963826
2020-01-01,14,0.6,22.3,17699,179760.0,10.156506017289113
2020-01-01,15,1.0,21.6,17711,174340.0,9.843600022584834
2020-01-01,16,1.0,19.7,17187,174370.0,10.145458776982602
2020-01-01,17,0.2,16.3,17667,132750.0,7.5140091696383084
2020-01-01,18,-1.1,14.2,18553,116550.0,6.282002910580499
2020-01-01,19,-2.0,9.5,18519,116090.0,6.268697013877639
2020-01-01,20,-3.5,7.1,18298,116060.0,6.342769701606733
2020-01-01,21,-1.8,13.7,18238,115570.0,6.336769382607742
2020-01-01,22,-1.9,14.8,18561,115540.0,6.224880124993265
2020-01-01,23,-2.0,12.2,17992,116030.0,6.44897732325478
2020-01-01,24,-1.3,14.8,17121,115570.0,6.7501898253606685
2020-01-02,1,-0.6,16.0,16404,115570.0,7.0452328700316995
2020-01-02,2,0.9,17.9,16447,115570.0,7.026813400620174
2020-01-02,3,1.4,17.8,16114,115080.0,7.141615986099044
2020-01-02,4,1.5,17.3,15927,115080.0,7.225466189489546
2020-01-02,5,1.4,16.6,16094,115110.0,7.152354914875109
2020-01-02,6,1.6,18.1,16578,114710.0,6.91941126794547
2020-01-02,7,1.8,19.6,17537,115900.0,6.608884073672806
2020-01-02,8,2.8,19.9,19008,116440.0,6.125841750841751
2020-01-02,9,2.7,19.6,19477,187000.0,9.601067926272012
2020-01-02,10,3.6,21.4,19506,248040.0,12.71608735773608
2020-01-02,11,4.7,21.7,19037,199920.0,10.501654672479907
2020-01-02,12,5.8,24.5,18991,245980.0,12.952451161076299
2020-01-02,13,6.6,24.8,18622,200470.0,10.765223928686499
2020-01-02,14,6.9,26.1,19139,247570.0,12.93536757406343
2020-01-02,15,7.0,26.3,19092,199430.0,10.445736434108527
2020-01-02,16,6.6,25.7,19084,246690.0,12.926535317543491
2020-01-02,17,6.0,24.4,19020,148540.0,7.809674027339643
2020-01-02,18,5.2,21.4,19623,134330.0,6.845538398817714
2020-01-02,19,5.0,20.0,19638,117670.0,5.991954374172523
2020-01-02,20,4.2,18.9,19429,115220.0,5.930310360800864
2020-01-02,21,4.5,15.5,19003,115220.0,6.063253170552018
2020-01-02,22,4.4,15.7,18591,115190.0,6.196008821472756
2020-01-02,23,4.3,14.1,18216,114700.0,6.296662274923144
2020-01-02,24,4.3,13.5,17275,114490.0,6.627496382054993
